Document_No,Day_No,Menu_1,Menu_2,Date/time
51,1,"चहा,दूध,पोळी,भात,वांग्याची भाजी,अंड्याची भाजी","चहा,पोळी,अंड्याची भाजी",2018-05-24 08:09:21.442460+00:00
51,2,"चहा,दूध,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,दूध,पोळी",2018-05-24 08:10:08.392109+00:00
51,3,"चहा,ब्रेड,उपमा,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-05-24 08:10:52.195442+00:00
52,1,"चहा,उपमा,पोळी,भात,पत्ता कोबी,आलूची भाजी","चहा,पोळी",2018-05-24 08:12:55.833560+00:00
52,2,"चहा,दूध,चण्याची उसळ,पोळी,भात,खिचडी,बेसन,डाळ पालक",चहा,2018-05-24 08:13:41.078082+00:00
52,3,"चहा,दूध,उपमा,भाकर,खिचडी,पालक वरण,टमाटर चटणी","चहा,उपमा",2018-05-24 08:14:24.428183+00:00
53,1,"चहा,बिस्कीट,दूध,पोळी,भात,मेथीची भाजी,टमाटर चटणी",चहा,2018-05-24 08:16:36.134472+00:00
53,2,"चहा,दूध,उपमा,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-05-24 08:17:47.730600+00:00
53,3,"चहा,दूध,उपमा,भाकर,पोळी,पालक वरण,टमाटर चटणी",चहा,2018-05-24 08:18:35.563106+00:00
54,1,"चहा,उपमा,वाटाणा उसळ,पोळी,भात,खिचडी,बेसन","चहा,उपमा",2018-05-24 08:20:46.100027+00:00
54,2,"चहा,दूध,पोळी,खिचडी,मेथीची भाजी,वांग्याची भाजी","चहा,पोळी",2018-05-24 08:21:42.976092+00:00
54,3,"चहा,दूध,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-24 08:22:56.683225+00:00
55,1,"चहा,पोहे,पोळी,भात,पत्ता कोबी,वांग्याची भाजी","चहा,पोळी",2018-05-24 08:24:24.289261+00:00
55,2,"चहा,मटकीची उसळ,पोळी,भात,मेथीची भाजी","चहा,मटकीची उसळ,पोळी",2018-05-24 08:25:17.262270+00:00
55,3,"चहा,पोहे,पोळी,भात,पालक वरण,आलूची भाजी",चहा,2018-05-24 08:25:57.318716+00:00
56,1,"चहा,दूध,उपमा,पोळी,भात,पत्ता कोबी,वांग्याची भाजी","चहा,पोळी",2018-05-24 08:28:53.825536+00:00
56,2,"चहा,दूध,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-24 08:29:54.080282+00:00
56,3,"चहा,दूध,साबुदाणा उसळ,पोळी,वांग्याची भाजी",चहा,2018-05-24 08:30:36.784839+00:00
57,1,"चहा,उपमा,पोळी,भात,खिचडी,पत्ता कोबी,पालक वरण,टमाटर चटणी",चहा,2018-05-24 08:33:13.387876+00:00
57,2,"चहा,दूध,भाकर,पोळी,भात,खिचडी,वांग्याची भाजी","चहा,दूध",2018-05-24 08:34:01.079976+00:00
57,3,"चहा,उपमा,पोळी,बेसन,पालक वरण","चहा,पोळी",2018-05-24 08:34:47.008224+00:00
58,1,"चहा,दूध,उपमा,पोळी,बेसन,वांग्याची भाजी","उपमा,पोळी",2018-05-24 08:37:51.482583+00:00
58,2,"चहा,दूध,उपमा,पोळी,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-05-24 08:38:38.402356+00:00
58,3,"चहा,दूध,पोळी,भात,खिचडी,डाळ पालक,टमाटर चटणी","दूध,पोळी",2018-05-24 08:39:26.729000+00:00
59,1,"चहा,दूध,पोहे,भाकर,पोळी,भात,पालक वरण","चहा,पालक वरण",2018-05-24 08:41:41.874998+00:00
59,2,"चहा,दूध,पोहे,पोळी,खिचडी,बेसन,वांग्याची भाजी",पोहे,2018-05-24 08:42:24.031936+00:00
59,3,"चहा,दूध,उपमा,वाटाणा उसळ,पोळी,भात,वांग्याचं भरीत","चहा,उपमा,पोळी",2018-05-24 08:43:20.375848+00:00
60,1,"चहा,दूध,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,उपमा,भात",2018-05-24 08:45:42.676385+00:00
60,2,"चहा,ब्रेड,दूध,उपमा,पोळी,खिचडी,बेसन,वांग्याची भाजी","पोळी,वांग्याची भाजी",2018-05-24 08:46:45.310913+00:00
60,3,"चहा,पोहे,पोळी,भात,टमाटर चटणी","चहा,पोळी,टमाटर चटणी",2018-05-24 08:47:45.768337+00:00
61,1,"चहा,दूध,उपमा,पोळी,भात,पत्ता कोबी,पालक वरण","दूध,पोळी",2018-05-24 12:06:44.343963+00:00
61,2,"चहा,साबुदाणा उसळ,पोळी,पालक वरण",चहा,2018-05-24 12:07:26.839454+00:00
61,3,"चहा,ब्रेड,उपमा,पोळी,भात,खिचडी,बेसन,अंड्याची भाजी",उपमा,2018-05-24 12:08:08.278904+00:00
62,1,"चहा,दूध,उपमा,पोळी,भात,टमाटर चटणी,वांग्याची भाजी","चहा,पोळी",2018-05-24 12:09:41.726072+00:00
62,2,"चहा,दूध,उपमा,पोळी,भात,खिचडी,बेसन,डाळ पालक","दूध,उपमा",2018-05-24 12:10:21.210515+00:00
62,3,"चहा,दूध,पोळी,भात,खिचडी,बेसन,पालक वरण",चहा,2018-05-24 12:10:58.953698+00:00
63,1,"चहा,उपमा,पोळी,भात,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-24 12:13:27.362454+00:00
